ID,Blue,Blue #,Threat,Yellow,Yellow #,Threat,Amber,Amber #,Threat,Red,Red #,Threat,Average Threat,Type,Included/Excluded?,Card Included With
1,Nothing,1,0,Runner,2,4,Walker,5,5,Fatty,2,4,3.25,Standard Zombies,Excluded,Core Box Set
2,Nothing,1,0,Fatty,2,4,Walker,5,5,Walker,5,5,3.5,Standard Zombies,Excluded,Core Box Set
3,Nothing,1,0,Walker,4,4,Runner,3,6,Runner,2,4,3.5,Standard Zombies,Excluded,Core Box Set
4,Walker,1,1,Runner,1,2,Fatty,3,6,Fatty,3,6,3.75,Standard Zombies,Excluded,Core Box Set
5,Walker,1,1,Fatty,1,2,Walker,4,4,Walker,5,5,3,Standard Zombies,Excluded,Core Box Set
6,Walker,1,1,Walker,2,2,Runner,1,2,Runner,3,6,2.75,Standard Zombies,Excluded,Core Box Set
7,Walker,2,2,Runner,1,2,Fatty,1,2,Fatty,3,6,3,Standard Zombies,Excluded,Core Box Set
8,Walker,3,3,Fatty,1,2,Walker,4,4,Walker,6,6,3.75,Standard Zombies,Excluded,Core Box Set
9,Fatty,1,2,Walker,2,2,Runner,2,4,Runner,3,6,3.5,Standard Zombies,Excluded,Core Box Set
10,Fatty,1,2,Walker,2,2,Fatty,2,4,Walker,5,5,3.25,Standard Zombies,Excluded,Core Box Set
11,Runner,1,2,Walker,3,3,Walker,3,3,Walker,6,6,3.5,Standard Zombies,Excluded,Core Box Set
12,Runner,1,2,Walker,3,3,Walker,3,3,Walker,5,5,3.25,Standard Zombies,Excluded,Core Box Set
13,Abomination,1,10,Runner,1,2,Walker,5,5,Fatty,2,4,5.25,Standard Zombies,Excluded,Core Box Set
14,Walker,2,2,Abomination,1,10,Fatty,1,2,Runner,3,6,5,Standard Zombies,Excluded,Core Box Set
15,Walker,2,2,Fatty,1,2,Abomination,1,10,Walker,6,6,5,Standard Zombies,Excluded,Core Box Set
16,Walker,1,1,Walker,3,3,Runner,2,4,Abomination,1,10,4.5,Standard Zombies,Excluded,Core Box Set
17,Walker,1,1,Runner,2,4,Fatty,3,6,Walker,6,6,4.25,Standard Zombies,Excluded,Core Box Set
18,Runner,1,2,Fatty,1,2,Walker,4,4,Walker,5,5,3.25,Standard Zombies,Excluded,Core Box Set
19,Walker,1,1,Walker,4,4,Runner,2,4,Fatty,3,6,3.75,Standard Zombies,Excluded,Core Box Set
20,Fatty,1,2,Runner,1,2,Walker,6,6,Runner,2,4,3.5,Standard Zombies,Excluded,Core Box Set
21,Walker,1,1,Fatty,2,4,Runner,2,4,Walker,8,8,4.25,Standard Zombies,Excluded,Core Box Set
22,Fatty,1,2,Walker,2,2,Fatty,2,4,Walker,7,7,3.75,Standard Zombies,Excluded,Core Box Set
23,Runner,1,2,Walker,4,4,Walker,4,4,Fatty,3,6,4,Standard Zombies,Excluded,Core Box Set
24,Fatty,1,2,Walker,3,3,Walker,5,5,Runner,3,6,4,Standard Zombies,Excluded,Core Box Set
25,Abomination,1,10,Runner,1,2,Walker,5,5,Fatty,2,4,5.25,Standard Zombies,Excluded,Core Box Set
26,Walker,2,2,Abomination,1,10,Fatty,1,2,Runner,3,6,5,Standard Zombies,Excluded,Core Box Set
27,Walker,2,2,Fatty,1,2,Abomination,1,10,Walker,6,6,5,Standard Zombies,Excluded,Core Box Set
28,Walker,1,1,Walker,3,3,Runner,2,4,Abomination,1,10,4.5,Standard Zombies,Excluded,Core Box Set
29,Walker,1,1,Runner,2,4,Fatty,3,6,Walker,6,6,4.25,Standard Zombies,Excluded,Core Box Set
30,Runner,1,2,Fatty,1,2,Walker,4,4,Walker,5,5,3.25,Standard Zombies,Excluded,Core Box Set
31,Walker,1,1,Walker,4,4,Runner,2,4,Fatty,3,6,3.75,Standard Zombies,Excluded,Core Box Set
32,Fatty,1,2,Runner,1,2,Walker,6,6,Runner,2,4,3.5,Standard Zombies,Excluded,Core Box Set
33,Walker,1,1,Fatty,2,4,Runner,2,4,Walker,8,8,4.25,Standard Zombies,Excluded,Core Box Set
34,Walker,1,1,Fatty,2,4,Walker,2,2,Fatty,7,14,5.25,Standard Zombies,Excluded,Core Box Set
35,Runner,1,2,Walker,4,4,Walker,4,4,Fatty,3,6,4,Standard Zombies,Excluded,Core Box Set
36,Fatty,1,2,Walker,3,3,Walker,5,5,Runner,3,6,4,Standard Zombies,Excluded,Core Box Set
37,Walker Activation,1,2,Walker Activation,1,2,Walker Activation,1,2,Walker Activation,1,2,2,Standard Zombies,Excluded,Core Box Set
38,Walker Activation,1,2,Walker Activation,1,2,Walker Activation,1,2,Walker Activation,1,2,2,Standard Zombies,Excluded,Core Box Set
39,Fatty Activation,1,4,Fatty Activation,1,4,Fatty Activation,1,4,Fatty Activation,1,4,4,Standard Zombies,Excluded,Core Box Set
40,Runner Activation,1,4,Runner Activation,1,4,Runner Activation,1,4,Runner Activation,1,4,4,Standard Zombies,Excluded,Core Box Set
41,Necromancer,1,5,Necromancer,1,5,Necromancer,1,5,Necromancer,1,5,5,Necromancer,Excluded,Core Box Set
42,Necromancer,1,5,Necromancer,1,5,Necromancer,1,5,Necromancer,1,5,5,Necromancer,Excluded,Core Box Set
43,Necromancer,1,5,Necromancer,1,5,Necromancer,1,5,Necromancer,1,5,5,Necromancer,Excluded,Core Box Set
44,Necromancer,1,5,Necromancer,1,5,Necromancer,1,5,Necromancer,1,5,5,Necromancer,Excluded,Core Box Set
45,Necromancer,1,5,Necromancer,1,5,Necromancer,1,5,Necromancer,1,5,5,Necromancer,Excluded,Core Box Set
46,Necromancer,1,5,Necromancer,1,5,Necromancer,1,5,Necromancer,1,5,5,Necromancer,Excluded,Core Box Set
47,Double Spawn,1,5,Double Spawn,1,5,Double Spawn,1,5,Double Spawn,1,5,5,Double Spawn,Excluded,Core Box Set
48,Double Spawn,1,5,Double Spawn,1,5,Double Spawn,1,5,Double Spawn,1,5,5,Double Spawn,Excluded,Core Box Set
49,Double Spawn,1,5,Double Spawn,1,5,Double Spawn,1,5,Double Spawn,1,5,5,Double Spawn,Excluded,Core Box Set
50,Double Spawn,1,5,Double Spawn,1,5,Double Spawn,1,5,Double Spawn,1,5,5,Double Spawn,Excluded,Core Box Set
51,Double Spawn,1,5,Double Spawn,1,5,Double Spawn,1,5,Double Spawn,1,5,5,Double Spawn,Excluded,Core Box Set
52,Double Spawn,1,5,Double Spawn,1,5,Double Spawn,1,5,Double Spawn,1,5,5,Double Spawn,Excluded,Core Box Set
53,Double Spawn,1,5,Double Spawn,1,5,Double Spawn,1,5,Double Spawn,1,5,5,Double Spawn,Excluded,Core Box Set
54,Double Spawn,1,5,Double Spawn,1,5,Double Spawn,1,5,Double Spawn,1,5,5,Double Spawn,Excluded,Core Box Set
55,Wolvz,1,5,Wolvz,2,10,Wolvz,3,15,Wolvz,4,20,12.5,Zombie Wolfz,Excluded,Wulfsburg
56,Wolvz,2,10,Wolvz,3,15,Wolvz,4,20,Wolvz,5,25,17.5,Zombie Wolfz,Excluded,Wulfsburg
57,Wolvz,3,15,Wolvz,4,20,Wolvz,5,25,Wolvz,6,30,22.5,Zombie Wolfz,Excluded,Wulfsburg
58,Wolvz,1,5,Wolvz,2,10,Wolvz,3,15,Wolvz,4,20,12.5,Zombie Wolfz,Excluded,Wulfsburg
59,Wolvz,2,10,Wolvz,3,15,Wolvz,4,20,Wolvz,5,25,17.5,Zombie Wolfz,Excluded,Wulfsburg
60,Wolvz,3,15,Wolvz,4,20,Wolvz,5,25,Wolvz,6,30,22.5,Zombie Wolfz,Excluded,Wulfsburg
61,Nothing,1,0,Wolfbomination,1,18,Wolfbomination,1,18,Wolfbomination,1,18,13.5,Abomination,Excluded,Wulfsburg
62,Nothing,1,0,Wolfbomination,1,18,Wolfbomination,1,18,Wolfbomination,1,18,13.5,Abomination,Excluded,Wulfsburg
63,Nothing,1,0,NPC,4,4,NPC,4,4,NPC,5,5,3.25,NPC,Excluded,NPC-1
64,NPC,1,1,NPC,3,3,NPC,4,4,NPC,4,4,3,NPC,Excluded,NPC-1
65,NPC,1,1,NPC,2,2,NPC,2,2,NPC,5,5,2.5,NPC,Excluded,NPC-1
66,NPC,2,2,NPC,3,3,NPC,4,4,NPC,4,4,3.25,NPC,Excluded,NPC-1
67,Nothing,1,0,NPC,4,4,NPC,4,4,NPC,5,5,3.25,NPC,Excluded,NPC-1
68,NPC,1,1,NPC,1,1,NPC,6,6,NPC,7,7,3.75,NPC,Excluded,NPC-1
69,NPC,1,1,NPC,2,2,NPC,2,2,NPC,8,8,3.25,NPC,Excluded,NPC-1
70,NPC,2,2,NPC,3,3,NPC,4,4,NPC,4,4,3.25,NPC,Excluded,NPC-1
71,Nothing,1,0,NPC,4,4,NPC,4,4,NPC,5,5,3.25,NPC,Excluded,NPC-1
72,NPC,1,1,NPC,1,1,NPC,6,6,NPC,7,7,3.75,NPC,Excluded,NPC-1
73,NPC,1,1,NPC,2,2,NPC,2,2,NPC,8,8,3.25,NPC,Excluded,NPC-1
74,NPC,2,2,NPC,3,3,NPC,4,4,NPC,4,4,3.25,NPC,Excluded,NPC-1
75,Nothing,1,0,NPC,4,4,NPC,4,4,NPC,5,5,3.25,NPC,Excluded,NPC-2
76,NPC,1,1,NPC,1,1,NPC,6,6,NPC,7,7,3.75,NPC,Excluded,NPC-2
77,NPC,1,1,NPC,2,2,NPC,2,2,NPC,8,8,3.25,NPC,Excluded,NPC-2
78,NPC,2,2,NPC,3,3,NPC,4,4,NPC,4,4,3.25,NPC,Excluded,NPC-2
79,Nothing,1,0,NPC,4,4,NPC,4,4,NPC,5,5,3.25,NPC,Excluded,NPC-2
80,NPC,1,1,NPC,1,1,NPC,6,6,NPC,7,7,3.75,NPC,Excluded,NPC-2
81,NPC,1,1,NPC,2,2,NPC,2,2,NPC,8,8,3.25,NPC,Excluded,NPC-2
82,NPC,2,2,NPC,3,3,NPC,4,4,NPC,4,4,3.25,NPC,Excluded,NPC-2
83,Nothing,1,0,NPC,4,4,NPC,4,4,NPC,5,5,3.25,NPC,Excluded,NPC-2
84,NPC,1,1,NPC,1,1,NPC,6,6,NPC,7,7,3.75,NPC,Excluded,NPC-2
85,NPC,1,1,NPC,2,2,NPC,2,2,NPC,8,8,3.25,NPC,Excluded,NPC-2
86,NPC,2,2,NPC,3,3,NPC,4,4,NPC,4,4,3.25,NPC,Excluded,NPC-2
87,Nothing,1,0,Ablobination,1,22.5,Ablobination,1,22.5,Ablobination,1,22.5,16.875,Abomination,Excluded,Zombie Bosses Abomination Pack
88,Nothing,1,0,Ablobination,1,22.5,Ablobination,1,22.5,Ablobination,1,22.5,16.875,Abomination,Excluded,Zombie Bosses Abomination Pack
89,Nothing,1,0,Ablobination,1,22.5,Ablobination,1,22.5,Ablobination,1,22.5,16.875,Abomination,Excluded,Zombie Bosses Abomination Pack
90,Nothing,1,0,Ablobination,1,22.5,Ablobination,1,22.5,Ablobination,1,22.5,16.875,Abomination,Excluded,Zombie Bosses Abomination Pack
91,Nothing,1,0,Abominatroll,1,30,Abominatroll,1,30,Abominatroll,1,30,22.5,Abomination,Excluded,Zombie Bosses Abomination Pack
92,Nothing,1,0,Abominatroll,1,30,Abominatroll,1,30,Abominatroll,1,30,22.5,Abomination,Excluded,Zombie Bosses Abomination Pack
93,Nothing,1,0,Abominatroll,1,30,Abominatroll,1,30,Abominatroll,1,30,22.5,Abomination,Excluded,Zombie Bosses Abomination Pack
94,Nothing,1,0,Abominatroll,1,30,Abominatroll,1,30,Abominatroll,1,30,22.5,Abomination,Excluded,Zombie Bosses Abomination Pack
95,Nothing,1,0,Abominotaur,1,22,Abominotaur,1,22,Abominotaur,1,22,16.5,Abomination,Excluded,Zombie Bosses Abomination Pack
96,Nothing,1,0,Abominotaur,1,22,Abominotaur,1,22,Abominotaur,1,22,16.5,Abomination,Excluded,Zombie Bosses Abomination Pack
97,Nothing,1,0,Abominotaur,1,22,Abominotaur,1,22,Abominotaur,1,22,16.5,Abomination,Excluded,Zombie Bosses Abomination Pack
98,Nothing,1,0,Abominotaur,1,22,Abominotaur,1,22,Abominotaur,1,22,16.5,Abomination,Excluded,Zombie Bosses Abomination Pack
99,Dead Eye Walkers,1,7,Dead Eye Walkers,2,14,Dead Eye Walkers,3,21,Dead Eye Walkers,4,28,17.5,Dead Eye Walkers,Excluded,Dead Eye Walkers
100,Dead Eye Walkers,2,14,Dead Eye Walkers,3,21,Dead Eye Walkers,4,28,Dead Eye Walkers,5,35,24.5,Dead Eye Walkers,Excluded,Dead Eye Walkers
101,Dead Eye Walkers,3,21,Dead Eye Walkers,4,28,Dead Eye Walkers,5,35,Dead Eye Walkers,6,42,31.5,Dead Eye Walkers,Excluded,Dead Eye Walkers
102,Dead Eye Walkers,1,7,Dead Eye Walkers,2,14,Dead Eye Walkers,3,21,Dead Eye Walkers,4,28,17.5,Dead Eye Walkers,Excluded,Dead Eye Walkers
103,Dead Eye Walkers,2,14,Dead Eye Walkers,3,21,Dead Eye Walkers,4,28,Dead Eye Walkers,5,35,24.5,Dead Eye Walkers,Excluded,Dead Eye Walkers
104,Dead Eye Walkers,3,21,Dead Eye Walkers,4,28,Dead Eye Walkers,5,35,Dead Eye Walkers,6,42,31.5,Dead Eye Walkers,Excluded,Dead Eye Walkers
105,Murder Crows,2,10,Murder Crows,3,15,Murder Crows,4,20,Murder Crows,5,25,17.5,Murder Crows,Excluded,Murder Crows
106,Murder Crows,2,10,Murder Crows,3,15,Murder Crows,4,20,Murder Crows,5,25,17.5,Murder Crows,Excluded,Murder Crows
107,Murder Crows,2,10,Murder Crows,3,15,Murder Crows,4,20,Murder Crows,5,25,17.5,Murder Crows,Excluded,Murder Crows
108,Murder Crows,2,10,Murder Crows,3,15,Murder Crows,4,20,Murder Crows,5,25,17.5,Murder Crows,Excluded,Murder Crows
109,Murder Crows,2,10,Murder Crows,3,15,Murder Crows,4,20,Murder Crows,5,25,17.5,Murder Crows,Excluded,Murder Crows
110,Murder Crows,2,10,Murder Crows,3,15,Murder Crows,4,20,Murder Crows,5,25,17.5,Murder Crows,Excluded,Murder Crows
111,Murder Crows,2,10,Murder Crows,3,15,Murder Crows,4,20,Murder Crows,5,25,17.5,Murder Crows,Excluded,Murder Crows
112,Murder Crows,2,10,Murder Crows,3,15,Murder Crows,4,20,Murder Crows,5,25,17.5,Murder Crows,Excluded,Murder Crows
113,Murder Crows,2,10,Murder Crows,3,15,Murder Crows,4,20,Murder Crows,5,25,17.5,Murder Crows,Excluded,Murder Crows
114,Murder Crows,2,10,Murder Crows,3,15,Murder Crows,4,20,Murder Crows,5,25,17.5,Murder Crows,Excluded,Murder Crows
115,Murder Crows,2,10,Murder Crows,3,15,Murder Crows,4,20,Murder Crows,5,25,17.5,Murder Crows,Excluded,Murder Crows
116,Murder Crows,2,10,Murder Crows,3,15,Murder Crows,4,20,Murder Crows,5,25,17.5,Murder Crows,Excluded,Murder Crows
117,Nothing,1,0,Abominalpha,1,24,Abominalpha,1,24,Abominalpha,1,24,18,Abominalpha,Excluded,Kickstarter Exclusive
118,Nothing,1,0,Abominalpha,1,24,Abominalpha,1,24,Abominalpha,1,24,18,Abominalpha,Excluded,Kickstarter Exclusive
119,Nothing,1,0,Abominalpha,1,24,Abominalpha,1,24,Abominalpha,1,24,18,Abominalpha,Excluded,Kickstarter Exclusive
120,Nothing,1,0,Abominalpha,1,24,Abominalpha,1,24,Abominalpha,1,24,18,Abominalpha,Excluded,Kickstarter Exclusive
121,Nothing,1,0,Abominarat,1,14,Abominarat,1,14,Abominarat,1,14,10.5,Abominarat,Excluded,Kickstarter Exclusive
122,Nothing,1,0,Abominarat,1,14,Abominarat,1,14,Abominarat,1,14,10.5,Abominarat,Excluded,Kickstarter Exclusive
123,Nothing,1,0,Abominarat,1,14,Abominarat,1,14,Abominarat,1,14,10.5,Abominarat,Excluded,Kickstarter Exclusive
124,Nothing,1,0,Abominarat,1,14,Abominarat,1,14,Abominarat,1,14,10.5,Abominarat,Excluded,Kickstarter Exclusive
125,To-Me-Ku-Pa,1,9,To-Me-Ku-Pa,1,9,To-Me-Ku-Pa,1,9,To-Me-Ku-Pa,1,9,9,Necromancer,Excluded,Crtichlow GuestBox
126,To-Me-Ku-Pa,1,9,To-Me-Ku-Pa,1,9,To-Me-Ku-Pa,1,9,To-Me-Ku-Pa,1,9,9,Necromancer,Excluded,Crtichlow GuestBox
127,To-Me-Ku-Pa,1,9,To-Me-Ku-Pa,1,9,To-Me-Ku-Pa,1,9,To-Me-Ku-Pa,1,9,9,Necromancer,Excluded,Crtichlow GuestBox
128,To-Me-Ku-Pa,1,9,To-Me-Ku-Pa,1,9,To-Me-Ku-Pa,1,9,To-Me-Ku-Pa,1,9,9,Necromancer,Excluded,Crtichlow GuestBox
129,To-Me-Ku-Pa,1,9,To-Me-Ku-Pa,1,9,To-Me-Ku-Pa,1,9,To-Me-Ku-Pa,1,9,9,Necromancer,Excluded,Crtichlow GuestBox
130,To-Me-Ku-Pa,1,9,To-Me-Ku-Pa,1,9,To-Me-Ku-Pa,1,9,To-Me-Ku-Pa,1,9,9,Necromancer,Excluded,Crtichlow GuestBox
131,The Blackheart,1,6,The Blackheart,1,6,The Blackheart,1,6,The Blackheart,1,6,6,Necromancer,Excluded,S Kopinski GuestBox
132,The Blackheart,1,6,The Blackheart,1,6,The Blackheart,1,6,The Blackheart,1,6,6,Necromancer,Excluded,S Kopinski GuestBox
133,The Blackheart,1,6,The Blackheart,1,6,The Blackheart,1,6,The Blackheart,1,6,6,Necromancer,Excluded,S Kopinski GuestBox
134,The Blackheart,1,6,The Blackheart,1,6,The Blackheart,1,6,The Blackheart,1,6,6,Necromancer,Excluded,S Kopinski GuestBox
135,The Blackheart,1,6,The Blackheart,1,6,The Blackheart,1,6,The Blackheart,1,6,6,Necromancer,Excluded,S Kopinski GuestBox
136,The Blackheart,1,6,The Blackheart,1,6,The Blackheart,1,6,The Blackheart,1,6,6,Necromancer,Excluded,S Kopinski GuestBox
137,Ostokar,1,8,Ostokar,1,8,Ostokar,1,8,Ostokar,1,8,8,Necromancer,Excluded,Kickstarter Exclusive
138,Ostokar,1,8,Ostokar,1,8,Ostokar,1,8,Ostokar,1,8,8,Necromancer,Excluded,Kickstarter Exclusive
139,Ostokar,1,8,Ostokar,1,8,Ostokar,1,8,Ostokar,1,8,8,Necromancer,Excluded,Kickstarter Exclusive
140,Ostokar,1,8,Ostokar,1,8,Ostokar,1,8,Ostokar,1,8,8,Necromancer,Excluded,Kickstarter Exclusive
141,Ostokar,1,8,Ostokar,1,8,Ostokar,1,8,Ostokar,1,8,8,Necromancer,Excluded,Kickstarter Exclusive
142,Ostokar,1,8,Ostokar,1,8,Ostokar,1,8,Ostokar,1,8,8,Necromancer,Excluded,Kickstarter Exclusive
143,Evil Troy,1,9,Evil Troy,1,9,Evil Troy,1,9,Evil Troy,1,9,9,Necromancer,Excluded,Kickstarter Exclusive
144,Evil Troy,1,9,Evil Troy,1,9,Evil Troy,1,9,Evil Troy,1,9,9,Necromancer,Excluded,Kickstarter Exclusive
145,Evil Troy,1,9,Evil Troy,1,9,Evil Troy,1,9,Evil Troy,1,9,9,Necromancer,Excluded,Kickstarter Exclusive
146,Evil Troy,1,9,Evil Troy,1,9,Evil Troy,1,9,Evil Troy,1,9,9,Necromancer,Excluded,Kickstarter Exclusive
147,Evil Troy,1,9,Evil Troy,1,9,Evil Troy,1,9,Evil Troy,1,9,9,Necromancer,Excluded,Kickstarter Exclusive
148,Evil Troy,1,9,Evil Troy,1,9,Evil Troy,1,9,Evil Troy,1,9,9,Necromancer,Excluded,Kickstarter Exclusive
149,Queen Medea,1,9,Queen Medea,1,9,Queen Medea,1,9,Queen Medea,1,9,9,Necromancer,Excluded,Kickstarter Exclusive
150,Queen Medea,1,9,Queen Medea,1,9,Queen Medea,1,9,Queen Medea,1,9,9,Necromancer,Excluded,Kickstarter Exclusive
151,Queen Medea,1,9,Queen Medea,1,9,Queen Medea,1,9,Queen Medea,1,9,9,Necromancer,Excluded,Kickstarter Exclusive
152,Queen Medea,1,9,Queen Medea,1,9,Queen Medea,1,9,Queen Medea,1,9,9,Necromancer,Excluded,Kickstarter Exclusive
153,Queen Medea,1,9,Queen Medea,1,9,Queen Medea,1,9,Queen Medea,1,9,9,Necromancer,Excluded,Kickstarter Exclusive
154,Queen Medea,1,9,Queen Medea,1,9,Queen Medea,1,9,Queen Medea,1,9,9,Necromancer,Excluded,Kickstarter Exclusive
155,Grin,1,6,Grin,1,6,Grin,1,6,Grin,1,6,6,Necromancer,Excluded,Kickstarter Exclusive
156,Grin,1,6,Grin,1,6,Grin,1,6,Grin,1,6,6,Necromancer,Excluded,Kickstarter Exclusive
157,Grin,1,6,Grin,1,6,Grin,1,6,Grin,1,6,6,Necromancer,Excluded,Kickstarter Exclusive
158,Grin,1,6,Grin,1,6,Grin,1,6,Grin,1,6,6,Necromancer,Excluded,Kickstarter Exclusive
159,Grin,1,6,Grin,1,6,Grin,1,6,Grin,1,6,6,Necromancer,Excluded,Kickstarter Exclusive
160,Grin,1,6,Grin,1,6,Grin,1,6,Grin,1,6,6,Necromancer,Excluded,Kickstarter Exclusive
161,Erik Summoner,1,7,Erik Summoner,1,7,Erik Summoner,1,7,Erik Summoner,1,7,7,Necromancer,Excluded,Promotional
162,Erik Summoner,1,7,Erik Summoner,1,7,Erik Summoner,1,7,Erik Summoner,1,7,7,Necromancer,Excluded,Promotional
163,Erik Summoner,1,7,Erik Summoner,1,7,Erik Summoner,1,7,Erik Summoner,1,7,7,Necromancer,Excluded,Promotional
164,Erik Summoner,1,7,Erik Summoner,1,7,Erik Summoner,1,7,Erik Summoner,1,7,7,Necromancer,Excluded,Promotional
165,Erik Summoner,1,7,Erik Summoner,1,7,Erik Summoner,1,7,Erik Summoner,1,7,7,Necromancer,Excluded,Promotional
166,Erik Summoner,1,7,Erik Summoner,1,7,Erik Summoner,1,7,Erik Summoner,1,7,7,Necromancer,Excluded,Promotional
167,Nothing,1,0,Orc Runner,5,15,Orc Walker,6,12,Orc Fatty,3,18,11.25,Orc Horde,Included,Green Horde Core
168,Nothing,1,0,Orc Fatty,3,18,Orc Walker,6,12,Orc Walker,6,12,10.5,Orc Horde,Included,Green Horde Core
169,Nothing,1,0,Orc Walker,5,10,Orc Runner,7,21,Orc Runner,7,21,13,Orc Horde,Included,Green Horde Core
170,Orc Walker,2,4,Orc Runner,4,12,Orc Fatty,4,24,Orc Fatty,4,24,16,Orc Horde,Included,Green Horde Core
171,Orc Walker,2,4,Orc Fatty,1,6,Orc Walker,5,10,Orc Walker,6,12,8,Orc Horde,Included,Green Horde Core
172,Orc Walker,2,4,Orc Walker,3,6,Orc Runner,5,15,Orc Runner,8,24,12.25,Orc Horde,Included,Green Horde Core
173,Orc Walker,3,6,Orc Runner,4,12,Orc Fatty,2,12,Orc Fatty,4,24,13.5,Orc Horde,Included,Green Horde Core
174,Orc Walker,4,8,Orc Fatty,2,12,Orc Walker,5,10,Orc Walker,7,14,11,Orc Horde,Included,Green Horde Core
175,Orc Fatty,2,12,Orc Walker,3,6,Orc Runner,6,18,Orc Runner,8,24,15,Orc Horde,Included,Green Horde Core
176,Orc Fatty,2,12,Orc Walker,3,6,Orc Fatty,3,18,Orc Walker,6,12,12,Orc Horde,Included,Green Horde Core
177,Orc Runner,3,9,Orc Walker,4,8,Orc Walker,4,8,Orc Walker,7,14,9.75,Orc Horde,Included,Green Horde Core
178,Orc Runner,3,9,Orc Walker,4,8,Orc Walker,4,8,Orc Walker,6,12,9.25,Orc Horde,Included,Green Horde Core
179,Orc Abomination,1,18,Orc Runner,4,12,Orc Walker,6,12,Orc Fatty,3,18,15,Orc Horde,Included,Green Horde Core
180,Orc Walker,3,6,Orc Abomination,1,18,Orc Fatty,2,12,Orc Runner,8,24,15,Orc Horde,Included,Green Horde Core
181,Orc Walker,3,6,Orc Fatty,2,12,Orc Abomination,1,18,Orc Walker,7,14,12.5,Orc Horde,Included,Green Horde Core
182,Orc Walker,2,4,Orc Walker,4,8,Orc Runner,6,18,Orc Abomination,1,18,12,Orc Horde,Included,Green Horde Core
183,Orc Walker,2,4,Orc Runner,5,15,Orc Fatty,4,24,Orc Walker,7,14,14.25,Orc Horde,Included,Green Horde Core
184,Orc Runner,3,9,Orc Fatty,2,12,Orc Walker,5,10,Orc Walker,6,12,10.75,Orc Horde,Included,Green Horde Core
185,Orc Walker,2,4,Orc Walker,5,10,Orc Runner,6,18,Orc Fatty,4,24,14,Orc Horde,Included,Green Horde Core
186,Orc Fatty,2,12,Orc Runner,4,12,Orc Walker,7,14,Orc Runner,7,21,14.75,Orc Horde,Included,Green Horde Core
187,Orc Walker,2,4,Orc Fatty,3,18,Orc Runner,6,18,Orc Walker,9,18,14.5,Orc Horde,Included,Green Horde Core
188,Orc Fatty,2,12,Orc Walker,3,6,Orc Fatty,3,18,Orc Walker,8,16,13,Orc Horde,Included,Green Horde Core
189,Orc Runner,3,9,Orc Walker,5,10,Orc Walker,5,10,Orc Fatty,4,24,13.25,Orc Horde,Included,Green Horde Core
190,Orc Fatty,2,12,Orc Walker,4,8,Orc Walker,6,12,Orc Runner,8,24,14,Orc Horde,Included,Green Horde Core
191,Orc Abomination,1,18,Orc Runner,4,12,Orc Walker,6,12,Orc Fatty,3,18,15,Orc Horde,Included,Green Horde Core
192,Orc Walker,3,6,Orc Abomination,1,18,Orc Fatty,2,12,Orc Runner,8,24,15,Orc Horde,Included,Green Horde Core
193,Orc Walker,3,6,Orc Fatty,2,12,Orc Abomination,1,18,Orc Walker,7,14,12.5,Orc Horde,Included,Green Horde Core
194,Orc Walker,2,4,Orc Walker,4,8,Orc Runner,6,18,Orc Abomination,1,18,12,Orc Horde,Included,Green Horde Core
195,Orc Walker,2,4,Orc Runner,5,15,Orc Fatty,4,24,Orc Walker,7,14,14.25,Orc Horde,Included,Green Horde Core
196,Orc Runner,3,9,Orc Fatty,2,12,Orc Walker,5,10,Orc Walker,6,12,10.75,Orc Horde,Included,Green Horde Core
