ID,Blue,Blue #,Threat,Yellow,Yellow #,Threat,Amber,Amber #,Threat,Red,Red #,Threat,Average Threat,Type,Included/Excluded?,Card Included With
197,Orc Walker,2,4,Orc Walker,5,10,Orc Runner,6,18,Orc Fatty,4,24,14,Orc Horde,Included,Green Horde Core
198,Orc Fatty,2,12,Orc Runner,4,12,Orc Walker,7,14,Orc Runner,7,21,14.75,Orc Horde,Included,Green Horde Core
199,Orc Walker,2,4,Orc Fatty,3,18,Orc Runner,6,18,Orc Walker,9,18,14.5,Orc Horde,Included,Green Horde Core
200,Orc Fatty,2,12,Orc Walker,3,6,Orc Fatty,3,18,Orc Walker,8,16,13,Orc Horde,Included,Green Horde Core
201,Orc Runner,3,9,Orc Walker,5,10,Orc Walker,5,10,Orc Fatty,4,24,13.25,Orc Horde,Included,Green Horde Core
202,Orc Fatty,2,12,Orc Walker,4,8,Orc Walker,6,12,Orc Runner,8,24,14,Orc Horde,Included,Green Horde Core
203,Nothing,1,0,Orc Walker Activation,1,2,Orc Walker Activation,1,2,Orc Walker Activation,1,2,1.5,Orc Horde,Included,Green Horde Core
204,Nothing,1,0,Orc Walker Activation,1,2,Orc Walker Activation,1,2,Orc Walker Activation,1,2,1.5,Orc Horde,Included,Green Horde Core
205,Nothing,1,0,Orc Fatty Activation,1,6,Orc Fatty Activation,1,6,Orc Fatty Activation,1,6,4.5,Orc Horde,Included,Green Horde Core
206,Nothing,1,0,Orc Runner Activation,1,2,Orc Runner Activation,1,2,Orc Runner Activation,1,2,1.5,Orc Horde,Included,Green Horde Core
207,Orc Necromancer,1,9,Orc Necromancer,1,9,Orc Necromancer,1,9,Orc Necromancer,1,9,9,Necromancer,Included,Green Horde Core
208,Orc Necromancer,1,9,Orc Necromancer,1,9,Orc Necromancer,1,9,Orc Necromancer,1,9,9,Necromancer,Included,Green Horde Core
209,Orc Necromancer,1,9,Orc Necromancer,1,9,Orc Necromancer,1,9,Orc Necromancer,1,9,9,Necromancer,Included,Green Horde Core
210,Orc Necromancer,1,9,Orc Necromancer,1,9,Orc Necromancer,1,9,Orc Necromancer,1,9,9,Necromancer,Included,Green Horde Core
211,Orc Necromancer,1,9,Orc Necromancer,1,9,Orc Necromancer,1,9,Orc Necromancer,1,9,9,Necromancer,Included,Green Horde Core
212,Orc Necromancer,1,9,Orc Necromancer,1,9,Orc Necromancer,1,9,Orc Necromancer,1,9,9,Necromancer,Included,Green Horde Core
213,Enter the Horde,1,5,Enter the Horde,1,5,Enter the Horde,1,5,Enter the Horde,1,5,5,Enter the Horde,Included,Green Horde Core
214,Enter the Horde,1,5,Enter the Horde,1,5,Enter the Horde,1,5,Enter the Horde,1,5,5,Enter the Horde,Included,Green Horde Core
215,Enter the Horde,1,5,Enter the Horde,1,5,Enter the Horde,1,5,Enter the Horde,1,5,5,Enter the Horde,Included,Green Horde Core
216,Enter the Horde,1,5,Enter the Horde,1,5,Enter the Horde,1,5,Enter the Horde,1,5,5,Enter the Horde,Included,Green Horde Core
217,Enter the Horde,1,5,Enter the Horde,1,5,Enter the Horde,1,5,Enter the Horde,1,5,5,Enter the Horde,Included,Green Horde Core
218,Enter the Horde,1,5,Enter the Horde,1,5,Enter the Horde,1,5,Enter the Horde,1,5,5,Enter the Horde,Included,Green Horde Core
219,Enter the Horde,1,5,Enter the Horde,1,5,Enter the Horde,1,5,Enter the Horde,1,5,5,Enter the Horde,Included,Green Horde Core
220,Enter the Horde,1,5,Enter the Horde,1,5,Enter the Horde,1,5,Enter the Horde,1,5,8,Enter the Horde,Included,Green Horde Core
221,Nothing,1,0,Necromantic Dragon,1,28,Necromantic Dragon,1,28,Necromantic Dragon,1,28,21,Dragon,Excluded,No Rest for the Wicked
222,Nothing,1,0,Necromantic Dragon,1,28,Necromantic Dragon,1,28,Necromantic Dragon,1,28,21,Dragon,Excluded,No Rest for the Wicked
223,Nothing,1,0,Necromantic Dragon,1,28,Necromantic Dragon,1,28,Necromantic Dragon,1,28,21,Dragon,Excluded,No Rest for the Wicked
224,Nothing,1,0,Necromantic Dragon,1,28,Necromantic Dragon,1,28,Necromantic Dragon,1,28,21,Dragon,Excluded,No Rest for the Wicked
225,Nothing,1,0,Necromantic Dragon,1,28,Necromantic Dragon,1,28,Necromantic Dragon,1,28,21,Dragon,Excluded,No Rest for the Wicked
226,Nothing,1,0,Necromantic Dragon,1,28,Necromantic Dragon,1,28,Necromantic Dragon,1,28,21,Dragon,Excluded,No Rest for the Wicked
227,Nothing,1,0,Necromantic Dragon,1,28,Necromantic Dragon,1,28,Necromantic Dragon,1,28,21,Dragon,Excluded,No Rest for the Wicked
228,Nothing,1,0,Necromantic Dragon,1,28,Necromantic Dragon,1,28,Necromantic Dragon,1,28,21,Dragon,Excluded,No Rest for the Wicked
229,Spectral Walker,1,3,Spectral Walker,1,3,Spectral Walker,5,15,Spectral Walker,2,6,6.75,Spectral Zombie,Excluded,No Rest for the Wicked
230,Spectral Walker,2,6,Spectral Walker,1,3,Spectral Walker,1,3,Spectral Walker,3,9,5.25,Spectral Zombie,Excluded,No Rest for the Wicked
231,Spectral Walker,2,6,Spectral Walker,1,3,Spectral Walker,1,3,Spectral Walker,6,18,7.5,Spectral Zombie,Excluded,No Rest for the Wicked
232,Spectral Walker,1,3,Spectral Walker,3,9,Spectral Walker,2,6,Spectral Walker,1,3,5.25,Spectral Zombie,Excluded,No Rest for the Wicked
233,Spectral Walker,1,3,Spectral Walker,2,6,Spectral Walker,3,9,Spectral Walker,6,18,9,Spectral Zombie,Excluded,No Rest for the Wicked
234,Spectral Walker,1,3,Spectral Walker,1,3,Spectral Walker,4,12,Spectral Walker,5,15,8.25,Spectral Zombie,Excluded,No Rest for the Wicked
235,Spectral Walker,1,3,Spectral Walker,4,12,Spectral Walker,2,6,Spectral Walker,3,9,7.5,Spectral Zombie,Excluded,No Rest for the Wicked
236,Spectral Walker,1,3,Spectral Walker,1,3,Spectral Walker,6,18,Spectral Walker,2,6,7.5,Spectral Zombie,Excluded,No Rest for the Wicked
237,Spectral Walker,1,3,Spectral Walker,2,6,Spectral Walker,2,6,Spectral Walker,8,24,9.75,Spectral Zombie,Excluded,No Rest for the Wicked
238,Spectral Walker,1,3,Spectral Walker,2,6,Spectral Walker,2,6,Spectral Walker,7,21,9,Spectral Zombie,Excluded,No Rest for the Wicked
239,Spectral Walker,1,3,Spectral Walker,4,12,Spectral Walker,4,12,Spectral Walker,3,9,9,Spectral Zombie,Excluded,No Rest for the Wicked
240,Spectral Walker,1,3,Spectral Walker,3,9,Spectral Walker,5,15,Spectral Walker,3,9,9,Spectral Zombie,Excluded,No Rest for the Wicked
241,Swarm of Ratz,2,15,Swarm of Ratz,3,22.5,Swarm of Ratz,4,30,Swarm of Ratz,5,37.5,26.25,Zombie Ratz,Excluded,No Rest for the Wicked
242,Swarm of Ratz,2,15,Swarm of Ratz,3,22.5,Swarm of Ratz,4,30,Swarm of Ratz,5,37.5,26.25,Zombie Ratz,Excluded,No Rest for the Wicked
243,Swarm of Ratz,2,15,Swarm of Ratz,3,22.5,Swarm of Ratz,4,30,Swarm of Ratz,5,37.5,26.25,Zombie Ratz,Excluded,No Rest for the Wicked
244,Swarm of Ratz,2,15,Swarm of Ratz,3,22.5,Swarm of Ratz,4,30,Swarm of Ratz,5,37.5,26.25,Zombie Ratz,Excluded,No Rest for the Wicked
245,Swarm of Ratz,2,15,Swarm of Ratz,3,22.5,Swarm of Ratz,4,30,Swarm of Ratz,5,37.5,26.25,Zombie Ratz,Excluded,No Rest for the Wicked
246,Swarm of Ratz,2,15,Swarm of Ratz,3,22.5,Swarm of Ratz,4,30,Swarm of Ratz,5,37.5,26.25,Zombie Ratz,Excluded,No Rest for the Wicked
247,Swarm of Ratz,2,15,Swarm of Ratz,3,22.5,Swarm of Ratz,4,30,Swarm of Ratz,5,37.5,26.25,Zombie Ratz,Excluded,No Rest for the Wicked
248,Swarm of Ratz,2,15,Swarm of Ratz,3,22.5,Swarm of Ratz,4,30,Swarm of Ratz,5,37.5,26.25,Zombie Ratz,Excluded,No Rest for the Wicked
249,Swarm of Ratz,2,15,Swarm of Ratz,3,22.5,Swarm of Ratz,4,30,Swarm of Ratz,5,37.5,26.25,Zombie Ratz,Excluded,No Rest for the Wicked
250,Swarm of Ratz,2,15,Swarm of Ratz,3,22.5,Swarm of Ratz,4,30,Swarm of Ratz,5,37.5,26.25,Zombie Ratz,Excluded,No Rest for the Wicked
251,Swarm of Ratz,2,15,Swarm of Ratz,3,22.5,Swarm of Ratz,4,30,Swarm of Ratz,5,37.5,26.25,Zombie Ratz,Excluded,No Rest for the Wicked
252,Swarm of Ratz,2,15,Swarm of Ratz,3,22.5,Swarm of Ratz,4,30,Swarm of Ratz,5,37.5,26.25,Zombie Ratz,Excluded,No Rest for the Wicked
253,Tainted Abomination,1,15,Tainted Walker,2,8,Tainted Walker,6,24,Tainted Walker,2,8,13.75,Abomination,Excluded,Friends and Foes
254,Tainted Walker,3,12,Tainted Abomination,1,15,Tainted Walker,2,8,Tainted Walker,4,16,12.75,Abomination,Excluded,Friends and Foes
255,Tainted Walker,3,12,Tainted Walker,2,8,Tainted Abomination,1,15,Tainted Walker,7,28,15.75,Abomination,Excluded,Friends and Foes
256,Tainted Walker,2,8,Tainted Walker,4,16,Tainted Walker,3,12,Tainted Abomination,1,15,12.75,Abomination,Excluded,Friends and Foes
257,Tainted Walker,2,8,Tainted Walker,3,12,Tainted Walker,4,16,Tainted Walker,7,28,16,Tainted Orc,Excluded,Friends and Foes
258,Tainted Walker,2,8,Tainted Walker,2,8,Tainted Walker,5,20,Tainted Walker,6,24,15,Tainted Orc,Excluded,Friends and Foes
259,Tainted Walker,2,8,Tainted Walker,5,20,Tainted Walker,3,12,Tainted Walker,4,16,14,Tainted Orc,Excluded,Friends and Foes
260,Tainted Walker,2,8,Tainted Walker,2,8,Tainted Walker,7,28,Tainted Walker,3,12,14,Tainted Orc,Excluded,Friends and Foes
261,Tainted Walker,2,8,Tainted Walker,3,12,Tainted Walker,3,12,Tainted Walker,9,36,17,Tainted Orc,Excluded,Friends and Foes
262,Tainted Walker,2,8,Tainted Walker,3,12,Tainted Walker,3,12,Tainted Walker,8,32,16,Tainted Orc,Excluded,Friends and Foes
263,Tainted Walker,2,8,Tainted Walker,5,20,Tainted Walker,5,20,Tainted Walker,4,16,16,Tainted Orc,Excluded,Friends and Foes
264,Tainted Walker,2,8,Tainted Walker,4,16,Tainted Walker,6,24,Tainted Walker,4,16,16,Tainted Orc,Excluded,Friends and Foes
265,Enter the Horde,1,5,Enter the Horde,1,5,Enter the Horde,1,5,Enter the Horde,1,5,5,Enter the Horde,Excluded,Friends and Foes
266,Enter the Horde,1,5,Enter the Horde,1,5,Enter the Horde,1,5,Enter the Horde,1,5,5,Enter the Horde,Excluded,Friends and Foes
267,Innsmouth,1,7,Innsmouth,1,7,Innsmouth,1,7,Innsmouth,1,7,7,Necromancer,Excluded,S Murry GuestBox
268,Innsmouth,1,7,Innsmouth,1,7,Innsmouth,1,7,Innsmouth,1,7,7,Necromancer,Excluded,S Murry GuestBox
269,Innsmouth,1,7,Innsmouth,1,7,Innsmouth,1,7,Innsmouth,1,7,7,Necromancer,Excluded,S Murry GuestBox
270,Innsmouth,1,7,Innsmouth,1,7,Innsmouth,1,7,Innsmouth,1,7,7,Necromancer,Excluded,S Murry GuestBox
271,Innsmouth,1,7,Innsmouth,1,7,Innsmouth,1,7,Innsmouth,1,7,7,Necromancer,Excluded,S Murry GuestBox
272,Innsmouth,1,7,Innsmouth,1,7,Innsmouth,1,7,Innsmouth,1,7,7,Necromancer,Excluded,S Murry GuestBox
273,Faolan,1,8,Faolan,1,8,Faolan,1,8,Faolan,1,8,8,Necromancer,Excluded,P Bonner GuestBox
274,Faolan,1,8,Faolan,1,8,Faolan,1,8,Faolan,1,8,8,Necromancer,Excluded,P Bonner GuestBox
275,Faolan,1,8,Faolan,1,8,Faolan,1,8,Faolan,1,8,8,Necromancer,Excluded,P Bonner GuestBox
276,Faolan,1,8,Faolan,1,8,Faolan,1,8,Faolan,1,8,8,Necromancer,Excluded,P Bonner GuestBox
277,Faolan,1,8,Faolan,1,8,Faolan,1,8,Faolan,1,8,8,Necromancer,Excluded,P Bonner GuestBox
278,Faolan,1,8,Faolan,1,8,Faolan,1,8,Faolan,1,8,8,Necromancer,Excluded,P Bonner GuestBox
279,Lord of Skulls,1,12,Lord of Skulls,1,12,Lord of Skulls,1,12,Lord of Skulls,1,12,12,Necromancer,Excluded,A Smith GuestBox
280,Lord of Skulls,1,12,Lord of Skulls,1,12,Lord of Skulls,1,12,Lord of Skulls,1,12,12,Necromancer,Excluded,A Smith GuestBox
281,Lord of Skulls,1,12,Lord of Skulls,1,12,Lord of Skulls,1,12,Lord of Skulls,1,12,12,Necromancer,Excluded,A Smith GuestBox
282,Lord of Skulls,1,12,Lord of Skulls,1,12,Lord of Skulls,1,12,Lord of Skulls,1,12,12,Necromancer,Excluded,A Smith GuestBox
283,Lord of Skulls,1,12,Lord of Skulls,1,12,Lord of Skulls,1,12,Lord of Skulls,1,12,12,Necromancer,Excluded,A Smith GuestBox
284,Lord of Skulls,1,12,Lord of Skulls,1,12,Lord of Skulls,1,12,Lord of Skulls,1,12,12,Necromancer,Excluded,A Smith GuestBox
285,Nothing,1,0,Feral Dragon,1,24,Feral Dragon,1,24,Feral Dragon,1,24,18,Dragon,Excluded,Kickstarter Exclusive
286,Nothing,1,0,Feral Dragon,1,24,Feral Dragon,1,24,Feral Dragon,1,24,18,Dragon,Excluded,Kickstarter Exclusive
287,Nothing,1,0,Feral Dragon,1,24,Feral Dragon,1,24,Feral Dragon,1,24,18,Dragon,Excluded,Kickstarter Exclusive
288,Nothing,1,0,Feral Dragon,1,24,Feral Dragon,1,24,Feral Dragon,1,24,18,Dragon,Excluded,Kickstarter Exclusive
289,Nothing,1,0,Feral Dragon,1,24,Feral Dragon,1,24,Feral Dragon,1,24,18,Dragon,Excluded,Kickstarter Exclusive
290,Nothing,1,0,Feral Dragon,1,24,Feral Dragon,1,24,Feral Dragon,1,24,18,Dragon,Excluded,Kickstarter Exclusive
291,Nothing,1,0,Feral Dragon,1,24,Feral Dragon,1,24,Feral Dragon,1,24,18,Dragon,Excluded,Kickstarter Exclusive
292,Nothing,1,0,Feral Dragon,1,24,Feral Dragon,1,24,Feral Dragon,1,24,18,Dragon,Excluded,Kickstarter Exclusive
293,Nothing,1,0,Fatty Burster,1,5,Fatty Burster,1,5,Fatty Burster,1,5,3.75,Fatty Burster,Excluded,Kickstarter Exclusive
294,Nothing,1,0,Fatty Burster,1,5,Fatty Burster,1,5,Fatty Burster,1,5,3.75,Fatty Burster,Excluded,Kickstarter Exclusive
295,Nothing,1,0,Fatty Burster,1,5,Fatty Burster,1,5,Fatty Burster,1,5,3.75,Fatty Burster,Excluded,Kickstarter Exclusive
296,Nothing,1,0,Fatty Burster,1,5,Fatty Burster,1,5,Fatty Burster,1,5,3.75,Fatty Burster,Excluded,Kickstarter Exclusive
297,Nothing,1,0,Fatty Burster,1,5,Fatty Burster,1,5,Fatty Burster,1,5,3.75,Fatty Burster,Excluded,Kickstarter Exclusive
298,Nothing,1,0,Fatty Burster,1,5,Fatty Burster,1,5,Fatty Burster,1,5,3.75,Fatty Burster,Excluded,Kickstarter Exclusive
299,Nothing,1,0,Zombie Giant,1,14,Zombie Giant,1,14,Zombie Giant,1,14,10.5,Giant,Excluded,Kickstarter Exclusive
300,Nothing,1,0,Zombie Giant,1,14,Zombie Giant,1,14,Zombie Giant,1,14,10.5,Giant,Excluded,Kickstarter Exclusive
301,Nothing,1,0,Zombie Giant,1,14,Zombie Giant,1,14,Zombie Giant,1,14,10.5,Giant,Excluded,Kickstarter Exclusive
302,Nothing,1,0,Zombie Giant,1,14,Zombie Giant,1,14,Zombie Giant,1,14,10.5,Giant,Excluded,Kickstarter Exclusive
303,Nothing,1,0,Gorgomination,1,16,Gorgomination,1,16,Gorgomination,1,16,12,Abomination,Excluded,Kickstarter Exclusive
304,Nothing,1,0,Gorgomination,1,16,Gorgomination,1,16,Gorgomination,1,16,12,Abomination,Excluded,Kickstarter Exclusive
305,Nothing,1,0,Gorgomination,1,16,Gorgomination,1,16,Gorgomination,1,16,12,Abomination,Excluded,Kickstarter Exclusive
306,Nothing,1,0,Gorgomination,1,16,Gorgomination,1,16,Gorgomination,1,16,12,Abomination,Excluded,Kickstarter Exclusive
307,Nothing,1,0,Horde Brother,1,26,Horde Brother,1,26,Horde Brother,1,26,19.5,Abomination,Excluded,Kickstarter Exclusive
308,Nothing,1,0,Horde Brother,1,26,Horde Brother,1,26,Horde Brother,1,26,19.5,Abomination,Excluded,Kickstarter Exclusive
309,Nothing,1,0,Horde Brother,1,26,Horde Brother,1,26,Horde Brother,1,26,19.5,Abomination,Excluded,Kickstarter Exclusive
310,Nothing,1,0,Horde Brother,1,26,Horde Brother,1,26,Horde Brother,1,26,19.5,Abomination,Excluded,Kickstarter Exclusive
311,Nothing,1,0,Siege Breaker,1,16,Siege Breaker,1,16,Siege Breaker,1,16,12,Abomination,Excluded,Kickstarter Exclusive
312,Nothing,1,0,Siege Breaker,1,16,Siege Breaker,1,16,Siege Breaker,1,16,12,Abomination,Excluded,Kickstarter Exclusive
313,Nothing,1,0,Siege Breaker,1,16,Siege Breaker,1,16,Siege Breaker,1,16,12,Abomination,Excluded,Kickstarter Exclusive
314,Nothing,1,0,Siege Breaker,1,16,Siege Breaker,1,16,Siege Breaker,1,16,12,Abomination,Excluded,Kickstarter Exclusive
315,Nothing,1,0,Swamp Lurker,1,18,Swamp Lurker,1,18,Swamp Lurker,1,18,13.5,Abomination,Excluded,Kickstarter Exclusive
316,Nothing,1,0,Swamp Lurker,1,18,Swamp Lurker,1,18,Swamp Lurker,1,18,13.5,Abomination,Excluded,Kickstarter Exclusive
317,Nothing,1,0,Swamp Lurker,1,18,Swamp Lurker,1,18,Swamp Lurker,1,18,13.5,Abomination,Excluded,Kickstarter Exclusive
318,Nothing,1,0,Swamp Lurker,1,18,Swamp Lurker,1,18,Swamp Lurker,1,18,13.5,Abomination,Excluded,Kickstarter Exclusive
319,Nothing,1,0,Abominabunny,1,37.5,Abominabunny,1,37.5,Abominabunny,1,37.5,28.125,Abomination,Excluded,Kickstarter Exclusive
320,Nothing,1,0,Abominabunny,1,37.5,Abominabunny,1,37.5,Abominabunny,1,37.5,28.125,Abomination,Excluded,Kickstarter Exclusive
321,Nothing,1,0,Abominabunny,1,37.5,Abominabunny,1,37.5,Abominabunny,1,37.5,28.125,Abomination,Excluded,Kickstarter Exclusive
322,Nothing,1,0,Abominabunny,1,37.5,Abominabunny,1,37.5,Abominabunny,1,37.5,28.125,Abomination,Excluded,Kickstarter Exclusive
323,Nothing,1,0,Magenta Covfefe of Aargh,1,14,Magenta Covfefe of Aargh,1,14,Magenta Covfefe of Aargh,1,14,10.5,Abomination,Excluded,Kickstarter Exclusive
324,Nothing,1,0,Magenta Covfefe of Aargh,1,14,Magenta Covfefe of Aargh,1,14,Magenta Covfefe of Aargh,1,14,10.5,Abomination,Excluded,Kickstarter Exclusive
325,Nothing,1,0,Magenta Covfefe of Aargh,1,14,Magenta Covfefe of Aargh,1,14,Magenta Covfefe of Aargh,1,14,10.5,Abomination,Excluded,Kickstarter Exclusive
326,Nothing,1,0,Magenta Covfefe of Aargh,1,14,Magenta Covfefe of Aargh,1,14,Magenta Covfefe of Aargh,1,14,10.5,Abomination,Excluded,Kickstarter Exclusive
327,Nothing,1,0,Vault Warden,1,10,Vault Warden,1,10,Vault Warden,1,10,7.5,Abomination,Excluded,Kickstarter Exclusive
328,Nothing,1,0,Vault Warden,1,10,Vault Warden,1,10,Vault Warden,1,10,7.5,Abomination,Excluded,Kickstarter Exclusive
329,Nothing,1,0,Vault Warden,1,10,Vault Warden,1,10,Vault Warden,1,10,7.5,Abomination,Excluded,Kickstarter Exclusive
330,Nothing,1,0,Vault Warden,1,10,Vault Warden,1,10,Vault Warden,1,10,7.5,Abomination,Excluded,Kickstarter Exclusive
331,Nothing,1,0,Werezombie,1,18,Werezombie,1,18,Werezombie,1,18,13.5,Abomination,Excluded,Kickstarter Exclusive
332,Nothing,1,0,Werezombie,1,18,Werezombie,1,18,Werezombie,1,18,13.5,Abomination,Excluded,Kickstarter Exclusive
333,Nothing,1,0,Werezombie,1,18,Werezombie,1,18,Werezombie,1,18,13.5,Abomination,Excluded,Kickstarter Exclusive
334,Nothing,1,0,Werezombie,1,18,Werezombie,1,18,Werezombie,1,18,13.5,Abomination,Excluded,Kickstarter Exclusive
335,Count Temeraire,1,7,Count Temeraire,1,7,Count Temeraire,1,7,Count Temeraire,1,7,7,Abomination,Excluded,Kickstarter Exclusive
336,Count Temeraire,1,7,Count Temeraire,1,7,Count Temeraire,1,7,Count Temeraire,1,7,7,Abomination,Excluded,Kickstarter Exclusive
337,Count Temeraire,1,7,Count Temeraire,1,7,Count Temeraire,1,7,Count Temeraire,1,7,7,Abomination,Excluded,Kickstarter Exclusive
338,Count Temeraire,1,7,Count Temeraire,1,7,Count Temeraire,1,7,Count Temeraire,1,7,7,Abomination,Excluded,Kickstarter Exclusive
339,Count Temeraire,1,7,Count Temeraire,1,7,Count Temeraire,1,7,Count Temeraire,1,7,7,Abomination,Excluded,Kickstarter Exclusive
340,Count Temeraire,1,7,Count Temeraire,1,7,Count Temeraire,1,7,Count Temeraire,1,7,7,Abomination,Excluded,Kickstarter Exclusive
341,Queen Severa,1,11,Queen Severa,1,11,Queen Severa,1,11,Queen Severa,1,11,11,Abomination,Excluded,Kickstarter Exclusive
342,Queen Severa,1,11,Queen Severa,1,11,Queen Severa,1,11,Queen Severa,1,11,11,Abomination,Excluded,Kickstarter Exclusive
343,Queen Severa,1,11,Queen Severa,1,11,Queen Severa,1,11,Queen Severa,1,11,11,Abomination,Excluded,Kickstarter Exclusive
344,Queen Severa,1,11,Queen Severa,1,11,Queen Severa,1,11,Queen Severa,1,11,11,Abomination,Excluded,Kickstarter Exclusive
345,Queen Severa,1,11,Queen Severa,1,11,Queen Severa,1,11,Queen Severa,1,11,11,Abomination,Excluded,Kickstarter Exclusive
346,Queen Severa,1,11,Queen Severa,1,11,Queen Severa,1,11,Queen Severa,1,11,11,Abomination,Excluded,Kickstarter Exclusive
347,Chromatiz,1,18,Chromatiz,1,18,Chromatiz,1,18,Chromatiz,1,18,18,Abomination,Excluded,Kickstarter Exclusive
348,Chromatiz,1,18,Chromatiz,1,18,Chromatiz,1,18,Chromatiz,1,18,18,Abomination,Excluded,Kickstarter Exclusive
349,Chromatiz,1,18,Chromatiz,1,18,Chromatiz,1,18,Chromatiz,1,18,18,Abomination,Excluded,Kickstarter Exclusive
350,Chromatiz,1,18,Chromatiz,1,18,Chromatiz,1,18,Chromatiz,1,18,18,Abomination,Excluded,Kickstarter Exclusive
351,Rat King,1,12,Rat King,2,24,Rat King,4,48,Rat King,6,72,39,Necromancer,Excluded,Rat King and Swamp Troll
352,Rat King,1,12,Rat King,2,24,Rat King,4,48,Rat King,6,72,39,Necromancer,Excluded,Rat King and Swamp Troll
353,Rat King,1,12,Rat King,2,24,Rat King,4,48,Rat King,6,72,39,Necromancer,Excluded,Rat King and Swamp Troll
354,Rat King,1,12,Rat King,2,24,Rat King,4,48,Rat King,6,72,39,Necromancer,Excluded,Rat King and Swamp Troll
355,Rat King,1,12,Rat King,2,24,Rat King,4,48,Rat King,6,72,39,Necromancer,Excluded,Rat King and Swamp Troll
356,Rat King,1,12,Rat King,2,24,Rat King,4,48,Rat King,6,72,39,Necromancer,Excluded,Rat King and Swamp Troll
357,Nothing,1,0,Swamp Troll,1,14,Swamp Troll,1,14,Swamp Troll,1,14,10.5,Abomination,Excluded,Rat King and Swamp Troll
358,Nothing,1,0,Swamp Troll,1,14,Swamp Troll,1,14,Swamp Troll,1,14,10.5,Abomination,Excluded,Rat King and Swamp Troll
359,Nothing,1,0,Swamp Troll,1,14,Swamp Troll,1,14,Swamp Troll,1,14,10.5,Abomination,Excluded,Rat King and Swamp Troll
360,Nothing,1,0,Swamp Troll,1,14,Swamp Troll,1,14,Swamp Troll,1,14,10.5,Abomination,Excluded,Rat King and Swamp Troll